sim_index,mut_rate,sel_coeff,sampling_start,num_samples,num_muts,total_branch_length,sackin_index,norm_sackin,pi,seg_sites,tajimas_d,num_singletons,external_clock_rate,internal_clock_rate,external_muts,internal_muts,external_length,internal_length,exp_fit_var,obsv_fit_var
75,0.0001,0.0,0,200,5139,5885.5,1277,-0.39745021312681766,0.0029857050098003424,0.17181647940074907,-2.9030136822748855,4124.0,0.8849918824053654,2.2038986958015174,4125,1014,4900.900000000001,984.5999999999998,0,0.0
76,0.0001,0.0,0,200,4130,4998.5,1375,-0.35120911750146777,0.0025039573872573263,0.13810861423220974,-2.8880829780310147,3463.0,0.9643965846141416,1.8741350381482047,3463,667,4131.099999999999,867.4000000000001,0,0.0
77,0.0001,0.0,0,200,4541,5145.7,1144,-0.4602059857612212,0.002726949017425334,0.15181915462814338,-2.8915733794676264,3626.0,1.0608874848172833,1.871155037394605,3627,914,4113.000000000002,1032.7000000000003,0,0.0
78,0.0001,0.0,0,200,4097,4491.5,1373,-0.35215281333055654,0.0025715875390865906,0.13700508293204922,-2.875914271386462,3291.0,0.986995881859608,1.80580302611852,3291,806,3611.400000000002,880.1000000000003,0,0.0
79,0.0001,0.0,0,200,4492,5170.0,1360,-0.35828683621963353,0.0024764993372426705,0.15008025682182985,-2.9192696979692596,3638.0,0.9349251953593346,2.1343796857777853,3639,853,4210.9,959.0999999999998,0,0.0
80,0.0001,0.0,0,200,5080,5682.4,1349,-0.3634771632796218,0.0029054733942587094,0.16984349919743177,-2.9081198766755816,4255.0,0.9384224931722553,1.5589730331885274,4255,825,4807.800000000002,874.5999999999998,0,0.0
81,0.0001,0.0,0,200,4250,4761.3,1322,-0.3762170569723203,0.002630516480207398,0.1420211342964152,-2.8807366010268907,3501.0,0.9960744704248542,1.5882579624487618,3502,748,3929.2999999999997,832.0,0,0.0
82,0.0001,0.0,0,200,3472,4036.4,1521,-0.2823193219779872,0.002328071268595488,0.11600454788657036,-2.8506794584512045,2714.0,0.9309105259035902,2.0868026558146116,2713,759,3165.6,870.8000000000001,0,0.0
83,0.0001,0.0,0,200,4568,5108.0,1422,-0.32903226551788156,0.0027366752838564614,0.15268860353130015,-2.8923225237470986,3661.0,0.9684407869579083,2.0887794323639444,3663,905,4187.799999999998,920.1999999999997,0,0.0
84,0.0001,0.0,0,200,3913,4368.9,1522,-0.28184747406344285,0.002502245040074652,0.13065141787051898,-2.8685049185433273,3075.0,1.0404503415352302,1.970263272969867,3074,839,3548.1999999999994,820.6999999999999,0,0.0
85,0.0001,0.0,0,200,4547,4965.9,1284,-0.39414727772500696,0.0026396293936241334,0.15201979668271803,-2.902932279275559,3727.0,0.9978674109052048,2.735983112881197,3728,819,4106.699999999999,859.2000000000004,0,0.0
86,0.0001,0.0,0,200,3735,4266.4,1268,-0.4016968443577172,0.0023306607946097305,0.12476591760299625,-2.877300607656692,2886.0,0.9600955244943083,1.954789388509749,2890,845,3245.7999999999993,1020.6,0,0.0
87,0.0001,0.0,0,200,3580,3937.1,1532,-0.27712899491799897,0.0024750861046807216,0.11961610486891386,-2.8389669752945528,2746.0,1.2042447117117332,1.881429050739463,2746,834,3114.2999999999997,822.8000000000002,0,0.0
88,0.0001,0.0,0,200,4972,5547.3,1259,-0.40594347558861665,0.002653696182894209,0.16623194221508827,-2.929763448379648,3982.0,0.9180999613976095,1.9788292998546948,3983,989,4553.599999999997,993.6999999999995,0,0.0
89,0.0001,0.0,0,200,3702,4140.2,1471,-0.3059117177052066,0.002304147140195331,0.12359550561797752,-2.877981085418305,2924.0,1.1531305324218224,2.066334797272423,2924,778,3314.2000000000003,826.0,0,0.0
90,0.0001,0.0,0,200,3608,4208.1,1373,-0.35215281333055654,0.002149659479849696,0.12061931514178705,-2.8934713208383345,2756.0,1.252916790804299,1.7619218393023037,2756,852,3284.2000000000007,923.9000000000008,0,0.0
91,0.0001,0.0,0,200,4618,5250.7,1276,-0.3979220610413621,0.00256213013973026,0.1543940609951846,-2.917576809968058,3839.0,1.0445047584809377,2.286695606492206,3840,778,4353.9,896.8,0,0.0
92,0.0001,0.0,0,200,3895,4511.5,1400,-0.3394129196378581,0.002399862138407411,0.1302501337613697,-2.88229512492686,3141.0,1.0035618693143553,2.162351066417623,3141,754,3578.9999999999995,932.4999999999999,0,0.0
93,0.0001,0.0,0,200,4767,5407.9,1421,-0.3295041134324259,0.002673338603128059,0.15937667201712147,-2.914269966361139,3962.0,0.9411665417293099,2.3403387768251624,3963,804,4478.400000000001,929.5000000000002,0,0.0
94,0.0001,0.0,0,200,3909,4522.5,1312,-0.38093553611776415,0.0026263977727052066,0.1306848582129481,-2.85056567464796,3043.0,0.9479598322963046,1.9266091557857534,3044,865,3561.700000000001,960.8000000000003,0,0.0
95,0.0001,0.0,0,200,3504,4087.0,1380,-0.34884987792874583,0.002333090680798297,0.11690743713215623,-2.852835474635766,2608.0,0.9812340007208048,2.050129305008677,2608,896,3053.3000000000015,1033.7,0,0.0
96,0.0001,0.0,0,200,4782,5542.1,1376,-0.35073726958692336,0.0025118351925491884,0.15984483681112896,-2.9343939712541123,3962.0,0.9175105891083865,1.799310449823403,3964,818,4481.600000000004,1060.5000000000007,0,0.0
97,0.0001,0.0,0,200,4701,5185.8,1247,-0.4116056505631493,0.002768194907119948,0.15710272873194223,-2.898156433425828,3777.0,0.9834307943718464,1.8804992984255218,3780,921,4246.400000000001,939.4000000000001,0,0.0
98,0.0001,0.0,0,200,3729,4378.9,1333,-0.371026729912332,0.002373629114002319,0.12469903691813804,-2.870568186427723,2905.0,1.0199508075178303,2.201094308755376,2905,824,3402.6999999999994,976.1999999999994,0,0.0
99,0.0001,0.0,0,200,3601,4298.3,1263,-0.4040560839304391,0.0025529046382259356,0.12041867308721241,-2.829343311418733,2781.0,1.0892448847102778,1.9349104211635193,2780,821,3341.800000000004,956.5000000000005,0,0.0
0,0.0001,0.0,35,200,4829,5544.6,1300,-0.3865977110922968,0.0025595927067117797,0.16144997324772606,-2.9317721352233543,4036.0,0.929210228999199,1.9169361275266585,4037,792,4637.8,906.8000000000002,0,0.0
1,0.0001,0.0,35,200,3941,4535.6,1461,-0.31063019685065046,0.0025367104382264735,0.13155430711610486,-2.8660501939114305,3152.0,1.3073757446495877,1.9083891684838032,3155,786,3621.2999999999993,914.3000000000001,0,0.0
2,0.0001,0.0,35,200,4162,4704.9,1253,-0.40877456307588295,0.0026046111375497318,0.13917870518994113,-2.877025288354528,3331.0,1.0070440526073294,1.8818932342980539,3331,831,3750.1999999999985,954.6999999999999,0,0.0
3,0.0001,0.0,35,200,4075,4782.3,1314,-0.37999184028867533,0.002223771008601006,0.13606875334403423,-2.9219636798706916,3316.0,1.0023890135613982,1.5404822591054192,3317,758,3799.6000000000004,982.6999999999999,0,0.0
4,0.0001,0.0,35,200,4628,5632.4,1400,-0.3394129196378581,0.0027881179573631494,0.15466158373461744,-2.8903858084973844,3872.0,0.8542283085209273,1.867951918698091,3875,753,4713.5,918.9000000000001,0,0.0
5,0.0001,0.0,35,200,4814,5552.0,1260,-0.40547162767407224,0.0026774001763768714,0.16094836811128946,-2.9169282704634183,3953.0,0.9213504679560817,1.8892424889265618,3952,862,4561.399999999999,990.5999999999999,0,0.0
6,0.0001,0.0,35,200,5480,6347.4,1401,-0.33894107172331367,0.0028906604988560834,0.18321963616907438,-2.933562186211182,4825.0,0.9469228526723503,2.067121255968804,4825,655,5623.6,723.8,0,0.0
